ID,实例名,状态,地域,可用区,实例类型,实例规格,CPU(核数),内存(GB),GPU(卡数),操作系统,镜像Id,带宽(Mbps),主IPv4公网IP,主IPv4内网IP,主IPv4RdmaIP,主IPv6地址,系统盘类型,系统盘大小(GiB),VpcId,Vpc名称,子网Id,子网名称,网络类型,创建时间,到期时间,实例计费模式,网络计费模式,所属项目,专用宿主机ID,置放群组ID,高性能计算集群ID,数据盘_0_类型,数据盘_0_大小（GiB）,数据盘_1_类型,数据盘_1_大小（GiB）,数据盘_2_类型,数据盘_2_大小（GiB）,数据盘_3_类型,数据盘_3_大小（GiB）,标签_with-snapshot
ins-n5ylnu9t,TCVMZY0020,运行中,上海,上海五区,标准型S5,S5.LARGE16,4,16,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.87.23,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-26 14:34:23,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,200,,,,,
ins-3ybe32ar,TCVMZY0022,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.87.43,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-26 14:34:25,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,500,CLOUD_PREMIUM,200,,,,,
ins-6d83w10r,TCVMZY0024,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,Ubuntu Server 22.04 LTS 64位,img-487zeit5,0Mbps,,10.82.87.36,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-26 14:34:26,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,
ins-8hcf2r1h,TCVMZY0025,运行中,上海,上海五区,标准型S5,S5.2XLARGE16,8,16,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.29,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-26 14:34:28,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,500,,,,,,,
ins-4fm604qr,TCVMZY0023,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-0yssjfdb,0Mbps,,10.82.87.21,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-26 14:34:29,,CDC计费,,默认项目,,,,,,,,,,,,
ins-3y3mjpkb,TCVMZY0021,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-0yssjfdb,0Mbps,,10.82.87.35,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-26 14:35:12,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,500,,,,,
ins-5eyn1z0t,TCVMZY0026,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.26,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-27 18:31:38,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,CLOUD_PREMIUM,100,,,,,
ins-3ivk5pur,TCVMZY0027,运行中,上海,上海五区,标准型S5,S5.LARGE16,4,16,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.25,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-27 18:31:38,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,100,,,,,
ins-6t0jfm5d,TCVMZY0028,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.22,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-27 18:31:39,,CDC计费,,默认项目,,,,,,,,,,,,
ins-dxxwwe93,TCVMZY0029,运行中,上海,上海五区,标准型S5,S5.LARGE16,4,16,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.44,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-27 18:32:14,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,CLOUD_PREMIUM,200,,,,,
ins-pl7mwq6h,TCVMBE0051,运行中,上海,上海五区,标准型S5,S5.2XLARGE16,8,16,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.82.40,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2024-05-28 10:51:45,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,,,,,,,
ins-232xbhk9,TCVMBE0053,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.82.63,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2024-05-28 10:51:52,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,150,,,,,,,
ins-5hf9cfgp,TCVMBE0058,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.82.78,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2024-05-28 10:51:52,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,,,,,,,
ins-pfufbnfp,TCVMBE0057,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.82.91,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2024-05-28 10:51:52,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,150,,,,,,,
ins-abafoyob,TCVMBE0050,运行中,上海,上海五区,标准型S5,S5.2XLARGE16,8,16,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.82.128,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2024-05-28 10:51:52,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,150,,,,,,,
ins-npg3ku0z,TCVMBE0054,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.82.108,,,CLOUD_PREMIUM,50,vpc-9uelwihs,PVPCBE0013,subnet-cvsctan1,TIPSBE0026,PVPCBE0013,2024-05-28 10:51:53,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,150,,,,,,,
